	HGNC_ID	Gene_symbol	Biological_process	Source	Source_Date	Download_Date
14931	HGNC:9587	PTDSS1	Phospholipid metabolism	HPA	20210914	20210914
14932	HGNC:15463	PTDSS2	Lipid biosynthesis	HPA	20210914	20210914
14933	HGNC:15463	PTDSS2	Lipid metabolism	HPA	20210914	20210914
14934	HGNC:15463	PTDSS2	Phospholipid biosynthesis	HPA	20210914	20210914
14935	HGNC:15463	PTDSS2	Phospholipid metabolism	HPA	20210914	20210914
14936	HGNC:9588	PTEN	Apoptosis	HPA	20210914	20210914
14937	HGNC:9588	PTEN	Lipid metabolism	HPA	20210914	20210914
14938	HGNC:9588	PTEN	Neurogenesis	HPA	20210914	20210914
14939	HGNC:23734	PTF1A	Differentiation	HPA	20210914	20210914
14940	HGNC:23734	PTF1A	Neurogenesis	HPA	20210914	20210914
14941	HGNC:23734	PTF1A	Transcription	HPA	20210914	20210914
14942	HGNC:23734	PTF1A	Transcription regulation	HPA	20210914	20210914
14943	HGNC:9591	PTGDR	Mast cell degranulation	HPA	20210914	20210914
14944	HGNC:9592	PTGDS	Fatty acid biosynthesis	HPA	20210914	20210914
14945	HGNC:9592	PTGDS	Fatty acid metabolism	HPA	20210914	20210914
14946	HGNC:9592	PTGDS	Lipid biosynthesis	HPA	20210914	20210914
14947	HGNC:9592	PTGDS	Lipid metabolism	HPA	20210914	20210914
14948	HGNC:9592	PTGDS	Mast cell degranulation	HPA	20210914	20210914
14949	HGNC:9592	PTGDS	Prostaglandin biosynthesis	HPA	20210914	20210914
14950	HGNC:9592	PTGDS	Prostaglandin metabolism	HPA	20210914	20210914
14951	HGNC:9592	PTGDS	Transport	HPA	20210914	20210914
14952	HGNC:9599	PTGES	Fatty acid biosynthesis	HPA	20210914	20210914
14953	HGNC:9599	PTGES	Fatty acid metabolism	HPA	20210914	20210914
14954	HGNC:9599	PTGES	Lipid biosynthesis	HPA	20210914	20210914
14955	HGNC:9599	PTGES	Lipid metabolism	HPA	20210914	20210914
14956	HGNC:9599	PTGES	Prostaglandin biosynthesis	HPA	20210914	20210914
14957	HGNC:9599	PTGES	Prostaglandin metabolism	HPA	20210914	20210914
14958	HGNC:17822	PTGES2	Fatty acid biosynthesis	HPA	20210914	20210914
14959	HGNC:17822	PTGES2	Fatty acid metabolism	HPA	20210914	20210914
14960	HGNC:17822	PTGES2	Lipid biosynthesis	HPA	20210914	20210914
14961	HGNC:17822	PTGES2	Lipid metabolism	HPA	20210914	20210914
14962	HGNC:17822	PTGES2	Prostaglandin biosynthesis	HPA	20210914	20210914
14963	HGNC:17822	PTGES2	Prostaglandin metabolism	HPA	20210914	20210914
